gene	complex	category
EXOSC2	Exosome	RNA_processing
EXOSC3	Exosome	RNA_processing
EXOSC4	Exosome	RNA_processing
EXOSC6	Exosome	RNA_processing
EXOSC8	Exosome	RNA_processing
DIS3	Exosome	RNA_processing
INTS2	Integrator	RNA_processing
INTS4	Integrator	RNA_processing
INTS5	Integrator	RNA_processing
INTS8	Integrator	RNA_processing
INTS9	Integrator	RNA_processing
CPSF1	Cleavage_polyadenylation	RNA_processing
CPSF3	Cleavage_polyadenylation	RNA_processing
CPSF4	Cleavage_polyadenylation	RNA_processing
CSTF3	Cleavage_polyadenylation	RNA_processing
WDR33	Cleavage_polyadenylation	RNA_processing
SYMPK	Cleavage_polyadenylation	RNA_processing
WDR82	Termination_restrictor	RNA_processing
SNRPD1	Spliceosome	RNA_processing
SNRPF	Spliceosome	RNA_processing
MED9	Mediator	Transcription_core
MED30	Mediator	Transcription_core
PAF1	Elongation	Transcription_core
CTR9	Elongation	Transcription_core
SUPT6H	Elongation	Transcription_core
POLR2H	RNAP_shared	Transcription_core
RUVBL1	Chromatin_remodeling	Unrelated
CSE1L	Nuclear_export	Unrelated
SPC25	Kinetochore	Unrelated
GATA1	Transcription_factor	Unrelated
